GK_ID,날짜,피슈팅,선방,강화단계,열1
802167495,2026-03-26,8,4,8,8강
825051539,2026-03-26,4,1,8,8강
207000488,2026-03-26,11,6,12,12강
216167495,2026-03-26,2,0,8,8강
802200389,2026-03-26,5,1,8,8강
216167495,2026-03-26,2,1,8,8강
828192119,2026-03-26,7,4,8,8강
216167495,2026-03-26,1,1,8,8강
206192119,2026-03-26,4,1,11,11강
804262621,2026-03-26,7,4,9,9강
300243311,2026-03-26,6,5,13,13강
206192119,2026-03-26,4,2,11,11강
231024630,2026-03-26,2,1,8,8강
515252154,2026-03-26,5,2,8,8강
515252154,2026-03-26,4,3,8,8강
214212831,2026-03-26,3,3,12,12강
515252154,2026-03-26,3,1,8,8강
840200389,2026-03-26,3,2,8,8강
515252154,2026-03-26,8,3,8,8강
825051539,2026-03-26,2,2,11,11강
515252154,2026-03-26,3,0,8,8강
300233189,2026-03-26,6,1,13,13강
515252154,2026-03-26,3,0,8,8강
828167948,2026-03-26,3,3,8,8강
515252154,2026-03-26,7,1,8,8강
300230621,2026-03-26,5,3,8,8강
237212831,2026-03-26,5,1,8,8강
834220901,2026-03-26,7,3,8,8강
828202811,2026-03-26,3,2,8,8강
217177683,2026-03-26,6,3,13,13강
828202811,2026-03-26,3,0,8,8강
324024630,2026-03-26,6,2,13,13강
845233267,2026-03-26,3,1,8,8강
515192119,2026-03-26,5,2,8,8강
251186153,2026-03-26,5,4,8,8강
845233267,2026-03-26,4,2,8,8강
834210257,2026-03-26,10,6,8,8강
300192448,2026-03-26,4,0,8,8강
834210257,2026-03-26,1,0,8,8강
829192119,2026-03-26,8,4,10,10강
846193080,2026-03-26,8,3,8,8강
828192119,2026-03-26,0,0,8,8강
206024630,2026-03-26,2,2,12,12강
251051539,2026-03-26,3,0,8,8강
251051539,2026-03-26,1,1,8,8강
834251752,2026-03-26,3,1,8,8강
284216065,2026-03-26,5,3,10,10강
829192119,2026-03-26,2,1,8,8강
300212831,2026-03-26,6,4,6,6강
829192119,2026-03-26,3,2,8,8강
846212831,2026-03-26,8,1,8,8강
829192119,2026-03-26,2,0,8,8강
804263063,2026-03-26,8,4,9,9강
517205186,2026-03-26,4,1,8,8강
804263063,2026-03-26,3,2,9,9강
845233267,2026-03-26,2,2,8,8강
804263063,2026-03-26,6,2,9,9강
300186153,2026-03-26,2,1,10,10강
804263063,2026-03-26,5,2,9,9강
