일시,홈,어웨이,스코어,홈결과,득점명단
2026-04-25 13:34:55,검정소,Voor,4:7,패,"검정소_858081644(1골), 검정소_855241084(1골), 검정소_855202126(2골), Voor_848170890(1골), Voor_840202884(1골), Voor_851243580(1골), Voor_844243630(2골), Voor_827006235(2골)"
2026-04-25 13:22:50,검정소,Voor,3:4,패,"검정소_852189596(2골), 검정소_855241084(1골), Voor_851243580(2골), Voor_848170890(1골), Voor_844243630(1골)"
2026-04-25 12:51:53,검정소,ZD장인지참치,2:4,패,"검정소_855202126(1골), 검정소_852189596(1골), ZD장인지참치_840247263(1골), ZD장인지참치_840191208(3골)"
2026-04-25 12:41:07,검정소,ZD장인지참치,1:2,패,"검정소_855241084(1골), ZD장인지참치_836256630(1골), ZD장인지참치_840199503(1골)"
2026-04-25 12:32:34,아들러,조바리안,3:3,무,"아들러_855232639(1골), 아들러_289191208(2골), 조바리안_835171877(2골), 조바리안_852190042(1골)"
2026-04-25 10:23:29,검정소,아들러,2:1,승,"검정소_855241084(1골), 검정소_855202126(1골), 아들러_289191208(1골)"
2026-04-25 10:11:57,검정소,아들러,2:3,패,"검정소_855202126(2골), 아들러_851257278(1골), 아들러_825232432(1골), 아들러_848192318(1골)"
2026-04-25 07:23:20,Eve올로,Voor,0:6,패,"Voor_851243580(3골), Voor_844243630(3골)"
2026-04-25 07:10:25,Eve올로,Voor,2:4,패,"Eve올로_851242964(1골), Eve올로_270237386(1골), Voor_844243630(2골), Voor_851243580(1골), Voor_851277954(1골)"
2026-04-25 06:58:41,Eve올로,Voor,0:0,패,
2026-04-25 06:43:33,UNIT,Voor,3:6,패,"UNIT_821007512(1골), UNIT_844228093(2골), Voor_844243630(1골), Voor_851243580(2골), Voor_851277954(3골)"
2026-04-25 06:30:25,UNIT,Voor,6:3,승,"UNIT_848210406(1골), UNIT_844228093(5골), Voor_851243580(1골), Voor_844243630(2골)"
2026-04-25 06:18:46,UNIT,Voor,6:None,승,"UNIT_848210406(1골), UNIT_284191189(1골), UNIT_844228093(4골)"
2026-04-25 06:08:16,UNIT,Voor,0:0,패,
2026-04-25 05:57:40,아들러,Voor,3:4,패,"아들러_840229752(1골), 아들러_825232432(1골), 아들러_289191208(1골), Voor_844243630(2골), Voor_852238744(1골), Voor_851243580(1골)"
2026-04-25 05:43:25,아들러,Voor,1:4,패,"아들러_289191208(1골), Voor_856261050(1골), Voor_851243580(1골), Voor_848170890(1골), Voor_844243630(1골)"
2026-04-23 15:02:02,Gucci박장군,Special블루,0:4,패,Special블루_844192123(4골)
2026-04-23 14:51:22,Gucci박장군,Special블루,3:2,승,"Gucci박장군_827005471(2골), Gucci박장군_101031432(1골), Special블루_855247851(1골), Special블루_851257470(1골)"
2026-04-23 13:48:03,UNIT,Gucci박장군,4:1,승,"UNIT_844228093(4골), Gucci박장군_101031432(1골)"
2026-04-23 13:36:59,UNIT,Gucci박장군,5:0,승,"UNIT_848210406(2골), UNIT_844228093(3골)"
2026-04-23 13:20:47,UNIT,ZD장인지참치,5:1,승,"UNIT_844228093(4골), UNIT_840192883(1골), ZD장인지참치_836256630(1골)"
2026-04-23 13:08:59,UNIT,ZD장인지참치,3:2,승,"UNIT_840192883(1골), UNIT_844228093(1골), UNIT_284191189(1골), ZD장인지참치_840213331(2골)"
2026-04-23 12:53:41,Angel코레아,UNIT,0:4,패,"UNIT_829216352(1골), UNIT_844228093(3골)"
2026-04-23 12:29:11,Angel코레아,ZD장인지참치,4:4,무,"Angel코레아_846214997(2골), Angel코레아_848216549(2골), ZD장인지참치_836256630(1골), ZD장인지참치_840191208(3골)"
2026-04-23 12:17:49,Angel코레아,ZD장인지참치,4:1,승,"Angel코레아_840230899(1골), Angel코레아_834194765(3골), ZD장인지참치_840191208(1골)"
2026-04-23 12:04:13,Angel코레아,UNIT,1:2,무,"Angel코레아_834194765(1골), UNIT_840192883(1골), UNIT_844228093(1골)"
2026-04-23 11:51:00,Angel코레아,UNIT,4:3,승,"Angel코레아_834194765(3골), Angel코레아_852233486(1골), UNIT_821007512(3골)"
2026-04-23 11:21:50,Gucci박장군,ZD장인지참치,2:3,패,"Gucci박장군_101031432(1골), Gucci박장군_827005471(1골), ZD장인지참치_836256630(1골), ZD장인지참치_840191208(2골)"
2026-04-22 14:11:39,Angel코레아,아들러,1:3,패,"Angel코레아_840230899(1골), 아들러_840221363(1골), 아들러_851233301(1골), 아들러_289191208(1골)"
2026-04-22 14:00:25,Angel코레아,아들러,2:3,패,"Angel코레아_852233486(1골), Angel코레아_840230899(1골), 아들러_265204529(1골), 아들러_855232639(1골), 아들러_289191208(1골)"
2026-04-22 13:56:02,ZD장인흥미니7,Voor,0:8,패,"Voor_851243580(3골), Voor_851277954(2골), Voor_844243630(2골), Voor_827006235(1골)"
2026-04-22 13:48:52,Angel코레아,아들러,1:2,패,"Angel코레아_846214997(1골), 아들러_851233301(1골), 아들러_289191208(1골)"
2026-04-22 13:44:58,ZD장인흥미니7,Voor,0:9,패,"Voor_851243580(5골), Voor_844243630(3골), Voor_827006235(1골)"
2026-04-22 13:32:20,Angel코레아,Voor,2:4,패,"Angel코레아_848216549(2골), Voor_827006235(1골), Voor_844243630(1골), Voor_851243580(2골)"
2026-04-22 13:21:08,ZD장인흥미니7,chilishake,1:4,패,"ZD장인흥미니7_814020801(1골), chilishake_846192505(2골), chilishake_839013383(1골), chilishake_818180930(1골)"
2026-04-22 13:20:51,Angel코레아,Voor,0:4,패,"Voor_848170890(1골), Voor_844243630(2골), Voor_827006235(1골)"
2026-04-22 13:03:08,ZD장인지참치,Voor,6:2,승,"ZD장인지참치_834210035(1골), ZD장인지참치_840191208(3골), ZD장인지참치_836256630(1골), ZD장인지참치_836200104(1골), Voor_844243630(1골), Voor_827006235(1골)"
2026-04-22 13:01:14,Angel코레아,chilishake,4:0,승,"Angel코레아_846214997(1골), Angel코레아_848216549(2골), Angel코레아_834194765(1골)"
2026-04-22 12:50:47,Angel코레아,chilishake,3:1,승,"Angel코레아_846214997(2골), Angel코레아_852233486(1골), chilishake_818180930(1골)"
2026-04-22 12:49:38,ZD장인지참치,Voor,3:3,무,"ZD장인지참치_851240740(1골), ZD장인지참치_840191208(1골), ZD장인지참치_840213331(1골), Voor_827006235(1골), Voor_851243580(2골)"
2026-04-22 12:31:10,chilishake,ZD장인지참치,3:4,패,"chilishake_818180930(1골), chilishake_846192505(1골), chilishake_850005003(1골), ZD장인지참치_836256630(4골)"
2026-04-22 12:19:09,chilishake,ZD장인지참치,4:2,승,"chilishake_818180930(1골), chilishake_848209331(2골), chilishake_851250723(1골), ZD장인지참치_840191208(2골)"
2026-04-22 10:55:40,Eve올로,Voor,2:4,패,"Eve올로_851244380(1골), Eve올로_845211575(1골), Voor_851243580(4골)"
2026-04-22 10:36:30,Eve올로,chilishake,1:3,패,"Eve올로_291251892(1골), chilishake_835188428(1골), chilishake_846001551(1골), chilishake_818180930(1골)"
2026-04-22 10:20:08,Eve올로,chilishake,0:7,패,"chilishake_846192505(1골), chilishake_818180930(4골), chilishake_848189505(1골), chilishake_848209331(1골)"
2026-04-21 23:19:10,UNIT,아들러,5:3,승,"UNIT_855233096(1골), UNIT_844228093(3골), UNIT_848210406(1골), 아들러_289191208(1골), 아들러_840229752(1골), 아들러_855232639(1골)"
2026-04-21 23:06:34,UNIT,아들러,4:3,승,"UNIT_848210406(1골), UNIT_840192883(1골), UNIT_844228093(2골), 아들러_825232432(1골), 아들러_840229752(2골)"
2026-04-21 12:55:05,UNIT,Voor,1:3,패,"UNIT_844228093(1골), Voor_851243580(1골), Voor_851277954(2골)"
2026-04-21 12:44:41,UNIT,Voor,4:3,승,"UNIT_840192883(2골), UNIT_844228093(2골), Voor_844243630(1골), Voor_848170890(1골), Voor_851243580(1골)"
2026-04-21 12:29:56,UNIT,Voor,1:2,패,"UNIT_844228093(1골), Voor_844243630(1골), Voor_851243580(1골)"
2026-04-21 12:16:11,Angel코레아,Voor,7:2,승,"Angel코레아_852233486(2골), Angel코레아_814226161(1골), Angel코레아_848216549(1골), Angel코레아_846214997(3골), Voor_848170890(1골), Voor_844243630(1골)"
2026-04-21 12:04:42,Angel코레아,Voor,3:6,패,"Angel코레아_834194765(1골), Angel코레아_846214997(2골), Voor_844243630(2골), Voor_827006235(1골), Voor_851277954(2골), Voor_851243580(1골)"
2026-04-21 11:53:48,Angel코레아,Voor,2:1,승,"Angel코레아_848216549(1골), Angel코레아_834194765(1골), Voor_844243630(1골)"
2026-04-21 11:43:02,Angel코레아,Voor,1:2,패,"Angel코레아_834194765(1골), Voor_852238744(1골), Voor_851243580(1골)"
2026-04-20 11:14:18,Angel코레아,chilishake,2:3,패,"Angel코레아_846214997(1골), Angel코레아_848216549(1골), chilishake_840192883(1골), chilishake_846192505(1골), chilishake_846001551(1골)"
2026-04-18 17:35:59,Angel코레아,UNIT,3:3,패,"Angel코레아_848216549(3골), UNIT_845135455(1골), UNIT_840192883(1골), UNIT_829216352(1골)"
2026-04-18 17:17:30,Angel코레아,UNIT,4:3,승,"Angel코레아_846214997(1골), Angel코레아_834194765(3골), UNIT_845135455(1골), UNIT_844228093(2골)"
2026-04-18 17:02:02,Angel코레아,UNIT,0:0,승,
2026-04-18 16:46:55,Angel코레아,UNIT,2:1,승,"Angel코레아_846214997(1골), Angel코레아_852233486(1골), UNIT_855233096(1골)"
2026-04-18 03:09:24,Angel코레아,UNIT,1:3,패,"Angel코레아_852232119(1골), UNIT_844228093(2골), UNIT_284191189(1골)"
2026-04-18 02:58:17,Angel코레아,UNIT,4:4,승,"Angel코레아_840230899(1골), Angel코레아_840259584(3골), UNIT_829216352(2골), UNIT_855233096(1골), UNIT_844228093(1골)"
2026-04-18 02:40:09,Angel코레아,UNIT,2:3,패,"Angel코레아_840230899(1골), Angel코레아_846193747(1골), UNIT_829216352(1골), UNIT_844228093(2골)"
