일시,홈,어웨이,스코어,홈결과,득점명단
2026-05-05 04:48:54,kingdom21,ZD장인흥미니7,0:1,패,ZD장인흥미니7_827054050(1골)
2026-05-05 04:07:19,ZD장인흥미니7,조바리안,2:4,패,"ZD장인흥미니7_283007289(1골), ZD장인흥미니7_814020801(1골), 조바리안_845198219(1골), 조바리안_852190042(2골), 조바리안_848232293(1골)"
2026-05-05 03:54:38,ZD장인흥미니7,조바리안,3:2,승,"ZD장인흥미니7_850140601(1골), ZD장인흥미니7_840231677(1골), ZD장인흥미니7_827054050(1골), 조바리안_852190042(1골), 조바리안_848232293(1골)"
2026-05-05 03:38:02,0708ManUtd,조바리안,1:4,패,"0708ManUtd_855226161(1골), 조바리안_852190042(1골), 조바리안_848232293(2골), 조바리안_818175943(1골)"
2026-05-05 03:27:15,0708ManUtd,조바리안,5:2,승,"0708ManUtd_852037576(5골), 조바리안_852190042(1골), 조바리안_848232293(1골)"
2026-05-05 02:19:33,ZD장인지참치,Special블루,1:2,패,"ZD장인지참치_836256630(1골), Special블루_844192123(1골), Special블루_851241096(1골)"
2026-05-04 18:22:11,UNIT,Voor,0:5,패,"Voor_848170890(1골), Voor_851243580(2골), Voor_844243630(2골)"
2026-05-04 18:10:10,UNIT,Voor,2:0,승,"UNIT_848210406(1골), UNIT_844228093(1골)"
2026-05-04 17:59:52,UNIT,Voor,2:3,패,"UNIT_844228093(2골), Voor_851277954(2골), Voor_827006235(1골)"
2026-05-04 17:47:47,UNIT,Voor,3:2,승,"UNIT_829216352(1골), UNIT_844228093(2골), Voor_827001625(1골), Voor_851277954(1골)"
2026-05-04 17:34:45,UNIT,Voor,2:5,패,"UNIT_844228093(2골), Voor_827006235(1골), Voor_844243630(1골), Voor_851277954(2골), Voor_851243580(1골)"
2026-05-04 17:23:27,UNIT,Voor,3:3,패,"UNIT_844228093(1골), UNIT_291258648(1골), UNIT_832208128(1골), Voor_851243580(2골), Voor_844243630(1골)"
2026-05-04 16:15:32,조바리안,Special블루,4:1,승,"조바리안_852190042(1골), 조바리안_848232293(1골), 조바리안_848216435(1골), 조바리안_845198219(1골), Special블루_844192123(1골)"
2026-05-04 16:03:48,조바리안,Special블루,3:4,패,"조바리안_852190042(3골), Special블루_851241096(2골), Special블루_844192123(2골)"
2026-05-04 15:52:02,조바리안,Special블루,2:1,승,"조바리안_840001201(1골), 조바리안_848232293(1골), Special블루_855247851(1골)"
2026-05-04 15:40:09,조바리안,Special블루,4:5,패,"조바리안_840001201(1골), 조바리안_848232293(2골), 조바리안_852190042(1골), Special블루_851241096(2골), Special블루_855247851(1골), Special블루_844192123(2골)"
2026-05-04 14:14:10,오스트리아,ZD장인흥미니7,5:3,승,"오스트리아_291199439(3골), 오스트리아_825197445(1골), 오스트리아_821206113(1골), ZD장인흥미니7_814020801(3골)"
2026-05-04 14:03:14,오스트리아,ZD장인흥미니7,0:0,패,
2026-05-04 14:01:33,오스트리아,ZD장인흥미니7,5:4,승,"오스트리아_825197445(1골), 오스트리아_291199439(3골), 오스트리아_826254117(1골), ZD장인흥미니7_827054050(1골), ZD장인흥미니7_289049072(1골), ZD장인흥미니7_840231677(1골), ZD장인흥미니7_814039943(1골)"
