일시,홈,어웨이,스코어,홈결과,득점명단
2026-04-26 4:00,kingdom21,조바리안,2_4,패,"kingdom21_290200104(1골), kingdom21_851251421(1골), 조바리안_840001201(1골), 조바리안_852190042(2골), 조바리안_851261865(1골)"
2026-04-26 3:48,kingdom21,조바리안,0_2,패,"조바리안_845198219(1골), 조바리안_840001201(1골)"
2026-04-26 1:39,UNIT,조바리안,7_6,승,"UNIT_844228093(5골), UNIT_284191189(1골), UNIT_845001419(1골), 조바리안_845198219(2골), 조바리안_852190042(2골), 조바리안_835171877(1골), 조바리안_846192985(1골)"
2026-04-26 1:24,UNIT,조바리안,2_6,패,"UNIT_844228093(1골), UNIT_284191189(1골), 조바리안_852190042(3골), 조바리안_840001201(1골), 조바리안_846192985(2골)"
2026-04-26 1:12,UNIT,조바리안,5_2,승,"UNIT_844228093(4골), UNIT_829216352(1골), 조바리안_845198219(1골), 조바리안_846192985(1골)"
2026-04-26 1:01,UNIT,조바리안,1_3,패,"UNIT_829216352(1골), 조바리안_852190042(1골), 조바리안_846192985(2골)"
2026-04-25 13:34,검정소,Voor,4_7,패,"검정소_858081644(1골), 검정소_855241084(1골), 검정소_855202126(2골), Voor_848170890(1골), Voor_840202884(1골), Voor_851243580(1골), Voor_844243630(2골), Voor_827006235(2골)"
2026-04-25 13:22,검정소,Voor,3_4,패,"검정소_852189596(2골), 검정소_855241084(1골), Voor_851243580(2골), Voor_848170890(1골), Voor_844243630(1골)"
2026-04-25 12:51,검정소,ZD장인지참치,2_4,패,"검정소_855202126(1골), 검정소_852189596(1골), ZD장인지참치_840247263(1골), ZD장인지참치_840191208(3골)"
2026-04-25 12:41,검정소,ZD장인지참치,1_2,패,"검정소_855241084(1골), ZD장인지참치_836256630(1골), ZD장인지참치_840199503(1골)"
2026-04-25 12:32,아들러,조바리안,3_3,무,"아들러_855232639(1골), 아들러_289191208(2골), 조바리안_835171877(2골), 조바리안_852190042(1골)"
2026-04-25 10:23,검정소,아들러,2_1,승,"검정소_855241084(1골), 검정소_855202126(1골), 아들러_289191208(1골)"
