상대GK_ID,시즌,이름,만난횟수,총피슈팅,총선방,경기당선방,선방률(%)
834220901,24 UCL (24 UEFA Champions League),다비드 라야,2,5,2,1.0,40.0
834230621,24 UCL (24 UEFA Champions League),잔루이지 돈나룸마,1,1,1,1.0,100.0
844251752,25 TOTS (25 Team Of The Season),뤼카 슈발리에,1,4,3,3.0,75.0
283192448,HG (Home Grown),M. 테어슈테겐,1,3,2,2.0,66.67
300211515,25 LIVE (25 LIVE),P. 골리니,1,3,2,2.0,66.67
234162835,LH (Loyal Heroes),사미르 한다노비치,1,7,4,4.0,57.14
206193105,TB (Tournament Best),알퐁스 아레올라,1,4,2,2.0,50.0
237192119,MC (Multi-League Champions),티보 쿠르투아,1,4,2,2.0,50.0
246199987,UP (Unsung Players),야스퍼르 실러선,1,6,3,3.0,50.0
251051539,EBS (European Best Stars),에드윈 반데르사르,1,4,2,2.0,50.0
291262621,23HW (23 Hard Worker),G. 마마르다슈빌리,1,4,2,2.0,50.0
300212831,25 LIVE (25 LIVE),알리송,1,6,3,3.0,50.0
300260978,25 LIVE (25 LIVE),J. 솅크,1,6,3,3.0,50.0
828230621,BLD (Best Legends),잔루이지 돈나룸마,1,8,4,4.0,50.0
없음,알수없음,알수없음,1,6,3,3.0,50.0
206177683,TB (Tournament Best),얀 조머,1,3,1,1.0,33.33
251192119,EBS (European Best Stars),티보 쿠르투아,1,6,2,2.0,33.33
265192119,LOL (LEGEND OF THE LOAN),티보 쿠르투아,1,3,1,1.0,33.33
515215698,24 PL (24 Premium Live),마이크 메냥,1,3,1,1.0,33.33
214001179,TC (Tournament Champions),잔루이지 부폰,1,4,1,1.0,25.0
828167948,BLD (Best Legends),위고 요리스,1,4,1,1.0,25.0
852048940,FAC (Football Association Champions),페트르 체흐,1,4,1,1.0,25.0
804262621,23NG (23 NEW GENERATION),G. 마마르다슈빌리,1,5,1,1.0,20.0
233163587,MOG (Moments Of Glory),카스퍼 슈마이켈,1,3,0,0.0,0.0
234051539,LH (Loyal Heroes),에드윈 반데르사르,1,3,0,0.0,0.0
268051539,LN (LEGENDARY NUMBERS),에드윈 반데르사르,1,3,0,0.0,0.0
300243675,25 LIVE (25 LIVE),키얼 스헤르펀,1,2,0,0.0,0.0
517235840,25 PL (25 Premium Live),M. 디 그레고리오,1,0,0,0.0,0.0
844259532,25 TOTS (25 Team Of The Season),주안 가르시아,1,4,0,0.0,0.0
