PlayerNameID,시즌,이름
503215316,19 PLS,헤로니모 룰리
815189296,EU24,에트리트 베리샤
297233164,MCFC,A. 무리치
503222546,19 PLS,레오폴트 칭에를레
323201325,23 LIVE,C. 터터루샤누
300210941,25 LIVE,이창근
260234102,21 UCL,I. 라두
284183567,RTN,에르빈 뮐더르
810228383,23 UCL,카밀 그라바라
844215316,25 TOTS,헤로니모 룰리
216163155,HOT,벤 포스터
515262621,24 PL,G. 마마르다슈빌리
300227477,25 LIVE,F. 알타미라노
322230168,22 LIVE,에메우빈송
278192119,23 TOTY,티보 쿠르투아
300242818,25 LIVE,핀 다멘
508163155,21 PL,벤 포스터
513262621,23 PL,G. 마마르다슈빌리
320192613,20 LIVE,C. 판틸리몬
233150724,MOG,조 하트
511177683,22 PL,얀 조머
300235018,25 LIVE,M. 니콜라스
300210772,25 LIVE,P. 드레베스
241210257,21 TOTY-N,에데르송
206163705,TB,스테브 망당다
511209960,22 PL,파체코
216000805,HOT,옌스 레만
323140293,23 LIVE,안토니오 미란테
264158121,FA,브누아 코스틸
512221759,23KLeague,김경민
516199259,25KLeague,김다솔
515243952,24 PL,안드리 루닌
206172553,TB,요나스 뢰슬
239210941,20KB,이창근
515269626,24 PL,Đ. 페트로비치
323150724,23 LIVE,조 하트
300234577,25 LIVE,디오구 코스타
856252552,25 UCL,K. 졸라키스
324220932,24 LIVE,로브레 칼리니치
848048940,WS,페트르 체흐
511192563,22 PL,베른트 레노
511200110,22 PL,마르코 비조트
513192563,23 PL,베른트 레노
300263139,25 LIVE,D. 그레이프
221157804,19 UCL,스콧 카슨
221200389,19 UCL,얀 오블라크
300241643,25 LIVE,빅토르 요한손
300202873,25 LIVE,케빈 뮐러
513212831,23 PL,알리송
234163587,LH,카스퍼 슈마이켈
273212831,WC22,알리송
324256699,24 LIVE,S. 오시궤
300199833,25 LIVE,라르스 운네스탈
300071383,25 LIVE,H. 뢸레케
511162835,22 PL,사미르 한다노비치
300254502,25 LIVE,S. 투라티
511223952,22 PL,다비드 소리아
510221912,22KLeague,강현무
511214979,22 PL,후안 무소
324264676,24 LIVE,E. 오구라
300199482,25 LIVE,안토니 로페스
241212831,21 TOTY-N,알리송
321163155,21 LIVE,벤 포스터
273234577,WC22,디오구 코스타
846190053,DCB,페터 슈마이켈
503193080,19 PLS,데헤아
230192448,20 TOTS,M. 테어슈테겐
300238604,25 LIVE,다니엘
506223952,20 PLA,다비드 소리아
815215698,EU24,마이크 메냥
513211738,23 PL,마르크 플레컨
260198009,21 UCL,마티아 페린
508190745,21 PL,M. 실베스트리
300238570,25 LIVE,송범근
502140293,19 PLA,안토니오 미란테
300250753,25 LIVE,A. 트루빈
300207935,25 LIVE,M. 티투로
501179783,18 PLS,랄프 페어만
300263339,25 LIVE,C. 러시워스
300223550,25 LIVE,요나스 오믈린
508227127,21 PL,알렉스 레미로
300186680,25 LIVE,R. 페르난데스
225212915,TKL,윤평국
515251752,24 PL,뤼카 슈발리에
502223952,19 PLA,다비드 소리아
250192119,21 TOTS,티보 쿠르투아
300244656,25 LIVE,Y. 다카오카
100238380,ICON TM,레프 야신
215192448,19 TOTS,M. 테어슈테겐
242234577,20 UCL,디오구 코스타
300210385,25 LIVE,후이 실바
815204935,EU24,조던 픽포드
506167948,20 PLA,위고 요리스
257203004,21KB,양한빈
239238570,20KB,송범근
300191628,25 LIVE,레안드로 치치솔라
508204935,21 PL,조던 픽포드
201193041,NHD,케일러 나바스
273202811,WC22,에미 마르티네스
221199987,19 UCL,야스퍼르 실러선
517262956,25 PL,N. 바실리
293191655,22 KFA,김승규
217198962,COC,라이스 음볼리
280226753,22 UCL,앙드레 오나나
300229956,25 LIVE,L. 아티-지기
503167495,19 PLS,마누엘 노이어
508224987,21 PL,이반 프로베델
206199005,TB,매튜 라이언
324163705,24 LIVE,스테브 망당다
300224041,25 LIVE,마르빈 슈뵈베
221193041,19 UCL,케일러 나바스
511228413,22 PL,에밀 아우데로
511230869,22 PL,우나이 시몬
300146296,25 LIVE,안드레스 페르난데스
324237580,24 LIVE,다니엘 슈미트
242177683,20 UCL,얀 조머
300245359,25 LIVE,C. 모레노
300240987,25 LIVE,마이클 쿠퍼
300255981,25 LIVE,Z. 스즈키
300189296,25 LIVE,에트리트 베리샤
238244316,20NG,루이스 막시미아누
300244316,25 LIVE,루이스 막시미아누
511211348,22 PL,S. 디미트리예프스키
324252200,24 LIVE,디오구 소자
225221700,TKL,노동건
100048940,ICON TM,페트르 체흐
502203841,19 PLA,닉 포프
