날짜,GK_ID,피슈팅,선방
2026-04-15,828167948,4,1
2026-04-15,856235840,4,2
2026-04-15,856235840,0,0
2026-04-15,844251752,4,3
2026-04-15,856235840,6,1
2026-04-15,251051539,4,2
2026-04-15,856235840,4,1
2026-04-15,828230621,8,4
2026-04-15,233163587,3,0
2026-04-15,856235840,4,0
2026-04-14,856235840,6,3
2026-04-14,834220901,3,1
2026-04-14,856235840,4,3
2026-04-14,834230621,1,1
2026-04-14,856235840,6,4
2026-04-14,251192119,6,2
2026-04-15,828167948,5,1
2026-04-15,840206585,1,0
2026-04-15,206203841,3,3
2026-04-15,828167948,2,0
2026-04-15,828167948,6,4
2026-04-15,300230872,3,0
2026-04-15,828167948,3,2
2026-04-15,234192119,4,0
2026-04-15,828167948,4,2
2026-04-15,264230621,4,2
2026-04-14,265186153,2,0
2026-04-14,828230621,8,3
2026-04-14,280210257,3,0
2026-04-14,828230621,3,0
2026-04-14,828230621,5,2
2026-04-14,251167495,5,3
2026-04-13,828230621,3,2
2026-04-13,300233267,3,0
2026-04-13,828230621,4,2
2026-04-13,300192119,3,0
2026-04-13,260186569,2,1
2026-04-13,828230621,8,2
2026-04-13,256186153,5,4
2026-04-13,828230621,4,4
2026-04-11,828230621,9,4
2026-04-11,825051539,5,3
2026-04-10,251167495,7,3
2026-04-10,828230621,4,1
2026-04-15,260213951,4,1
2026-04-15,834220901,9,5
2026-04-15,834220901,3,3
2026-04-15,265225116,4,3
2026-04-15,300220901,4,3
2026-04-15,834220901,7,3
2026-04-15,834220901,1,0
2026-04-15,206167948,4,0
2026-04-15,834220901,3,1
2026-04-15,508194404,2,2
2026-04-15,834220901,5,2
2026-04-15,206199482,13,6
2026-04-14,300193786,7,3
2026-04-14,834230621,7,2
2026-04-14,300233164,5,3
2026-04-14,834230621,4,1
2026-04-14,206177683,3,2
2026-04-14,834230621,3,1
2026-04-13,300228789,4,2
2026-04-13,834230621,5,4
2026-04-13,283211101,4,2
2026-04-13,834230621,4,2
2026-04-13,508192119,2,1
2026-04-13,834230621,5,2
2026-04-13,237212831,3,2
2026-04-13,834230621,4,2
2026-04-13,845233267,5,3
2026-04-13,834230621,4,4
2026-04-12,834230621,5,3
2026-04-12,101048940,6,3
2026-04-14,251192119,3,2
2026-04-14,300190941,6,2
2026-04-14,251192119,2,0
2026-04-14,515215698,0,0
2026-04-14,251192119,16,4
2026-04-14,300243952,0,0
2026-04-14,251192119,5,1
2026-04-14,256051539,5,1
2026-04-14,251192119,5,3
2026-04-14,265186153,2,1
2026-04-14,251192119,5,2
2026-04-14,517235840,0,0
2026-04-14,251192119,6,3
2026-04-14,289192119,7,4
2026-04-14,251192119,2,1
2026-04-14,814186569,3,1
2026-04-14,251192119,5,0
2026-04-14,836230621,5,1
2026-04-15,206203841,5,2
2026-04-15,834230621,3,2
2026-04-14,206203841,3,1
2026-04-14,214167495,3,1
2026-04-14,206203841,6,3
2026-04-14,300243675,7,2
2026-04-15,828226753,3,0
2026-04-15,300230872,4,0
2026-04-15,300230872,2,0
2026-04-15,828215698,5,1
2026-04-15,834242948,5,2
2026-04-15,300230872,3,2
2026-04-15,846164835,4,2
2026-04-15,253230621,5,2
2026-04-15,265192119,1,0
2026-04-15,846164835,4,2
2026-04-15,201051539,2,0
2026-04-15,846164835,4,1
2026-04-12,206177683,0,0
2026-04-12,234192119,5,3
2026-04-11,848192119,6,3
2026-04-11,234192119,1,1
2026-04-11,234192119,6,4
2026-04-11,300230621,1,1
2026-04-11,517230869,4,3
2026-04-11,234192119,3,1
2026-04-15,264230621,3,0
2026-04-15,300192448,4,1
2026-04-15,270193105,5,3
2026-04-15,264230621,7,5
2026-04-15,264230621,2,2
2026-04-15,260192119,5,1
2026-04-14,804262621,10,5
2026-04-14,264230621,7,4
2026-04-14,264230621,3,2
2026-04-14,264230621,5,1
2026-04-14,234173373,3,1
2026-04-14,264230621,5,1
2026-04-13,251167495,3,1
2026-04-13,264230621,8,4
2026-04-13,834210257,7,3
2026-04-13,264230621,6,4
2026-04-13,834212831,3,2
2026-04-13,264230621,6,5
2026-04-15,265192119,7,1
2026-04-15,237212831,5,3
2026-04-15,256186153,7,3
2026-04-15,265192119,8,3
2026-04-14,265186153,4,1
2026-04-14,815224836,5,3
2026-04-14,265186153,7,2
2026-04-14,828200389,3,2
2026-04-14,268005479,2,1
2026-04-14,265186153,5,3
2026-04-14,265186153,6,5
2026-04-14,853212432,4,3
2026-04-14,265186153,7,2
2026-04-14,265234102,10,5
2026-04-14,834230621,3,0
2026-04-14,265186153,7,4
2026-04-14,265186153,4,0
2026-04-14,270193105,5,2
2026-04-14,265225116,6,2
2026-04-14,265186153,4,2
2026-04-14,265186153,5,2
2026-04-14,517224003,3,1
2026-04-14,280210257,3,1
2026-04-14,829235073,7,7
2026-04-14,280210257,7,3
2026-04-14,835016254,5,2
2026-04-14,280210257,4,2
2026-04-14,828212831,4,2
2026-04-14,280210257,4,3
2026-04-14,513186153,2,1
2026-04-14,280210257,4,3
2026-04-14,802182494,4,2
2026-04-14,280210257,6,4
2026-04-14,251051539,3,1
2026-04-14,280210257,5,4
2026-04-14,246199987,5,3
2026-04-14,280210257,5,2
2026-04-14,251051539,8,4
2026-04-14,280210257,7,4
2026-04-14,840206585,4,2
2026-04-15,834167495,2,0
2026-04-15,251167495,4,3
2026-04-15,300167495,5,2
2026-04-15,251167495,6,3
2026-04-15,291262621,2,2
2026-04-15,251167495,7,2
2026-04-15,273226753,1,0
2026-04-15,251167495,2,2
2026-04-15,300194404,5,4
2026-04-15,251167495,3,1
2026-04-14,251192119,3,2
2026-04-14,251167495,7,2
2026-04-14,289051539,2,0
2026-04-14,251167495,4,1
2026-04-14,237212831,2,1
2026-04-14,251167495,4,3
2026-04-14,283170597,4,2
2026-04-14,251167495,5,1
2026-04-13,300233267,7,4
2026-04-13,253192119,6,2
2026-04-13,206177683,3,2
2026-04-13,300233267,6,4
2026-04-13,513203841,8,6
2026-04-13,300233267,3,1
2026-04-13,291262621,3,1
2026-04-13,300233267,6,3
2026-04-13,216162835,7,2
2026-04-13,300233267,1,1
2026-04-15,804262621,6,4
2026-04-15,300192119,3,0
2026-04-13,300192119,4,2
2026-04-13,825210257,2,2
2026-04-13,206173373,2,0
2026-04-13,300192119,5,2
2026-04-13,846193080,4,3
2026-04-13,300192119,5,0
2026-04-13,300192119,2,1
2026-04-13,845233267,4,0
2026-04-13,300192119,2,0
2026-04-13,814048940,9,6
2026-04-13,300192119,5,1
2026-04-13,324024630,7,3
2026-04-13,246199987,6,4
2026-04-13,300192119,4,1
2026-04-13,300192119,9,3
2026-04-13,270233267,1,0
2026-04-13,260186569,7,4
2026-04-13,283211101,5,2
2026-04-13,260186569,3,1
2026-04-13,256199987,3,2
2026-04-13,260186569,4,2
2026-04-13,324024630,7,4
2026-04-13,828226753,2,1
2026-04-13,260186569,4,1
2026-04-13,260186569,3,3
2026-04-13,300192119,5,3
2026-04-13,260186569,5,1
2026-04-13,264190941,8,3
2026-04-13,260186569,5,2
2026-04-13,802163587,7,2
2026-04-13,260186569,4,0
2026-04-13,300186148,0,0
2026-04-13,829220901,9,8
2026-04-13,260186569,4,3
2026-04-13,829167495,6,1
2026-04-13,260186569,3,0
2026-04-15,256186153,3,1
2026-04-15,256193105,3,0
2026-04-13,256186153,2,0
2026-04-13,207193080,6,1
2026-04-13,256186153,3,0
2026-04-13,218221087,0,0
2026-04-13,256186153,1,0
2026-04-13,852186153,2,0
2026-04-12,256186153,5,2
2026-04-12,264190941,5,1
2026-04-12,251001179,3,1
2026-04-12,256186153,3,0
2026-04-12,256186153,3,1
2026-04-12,216200389,2,0
2026-04-11,256186153,3,2
2026-04-11,253192119,3,1
2026-04-11,256186153,2,1
2026-04-11,300263887,2,2
2026-04-14,825051539,7,5
2026-04-14,265186153,2,0
2026-04-14,828215698,6,3
2026-04-14,825051539,6,3
2026-04-13,274192119,8,4
2026-04-13,825051539,2,0
2026-04-13,814223885,3,0
2026-04-13,825051539,1,1
2026-04-13,289190053,5,1
2026-04-13,825051539,4,4
2026-04-13,300240913,7,2
2026-04-13,825051539,4,1
2026-04-13,829235073,2,1
2026-04-13,825051539,7,3
2026-04-13,237190053,3,2
2026-04-13,825051539,3,1
2026-04-13,825051539,3,1
2026-04-13,300186153,3,1
2026-04-13,207212831,5,0
2026-04-13,825051539,3,1
2026-04-15,260213951,3,0
2026-04-15,319005479,5,1
2026-04-15,260213951,2,2
2026-04-15,852048940,3,0
2026-04-15,260213951,3,1
2026-04-15,826226753,5,0
2026-04-15,260213951,9,4
2026-04-15,300192119,4,1
2026-04-15,260213951,8,3
2026-04-15,265186153,5,0
2026-04-15,260213951,1,0
2026-04-15,828167948,5,2
2026-04-15,237210257,4,1
2026-04-15,513228789,3,2
2026-04-15,206024630,3,1
2026-04-15,260213951,5,2
2026-04-15,260213951,2,0
2026-04-15,300219836,4,3
2026-04-15,324024630,1,1
2026-04-15,265225116,2,2
2026-04-15,265225116,5,4
2026-04-15,251048940,5,2
2026-04-15,251167495,2,1
2026-04-15,265225116,3,0
2026-04-15,300252154,4,3
2026-04-15,265225116,2,0
2026-04-15,300243311,2,0
2026-04-15,265225116,5,3
2026-04-14,826226753,5,1
2026-04-14,265225116,5,2
2026-04-14,256199987,4,2
2026-04-14,265225116,3,1
2026-04-14,268051539,7,3
2026-04-14,265225116,5,0
2026-04-14,300192119,3,1
2026-04-14,265225116,1,0
2026-04-15,300220901,9,4
2026-04-15,840206585,8,4
2026-04-15,300220901,4,0
2026-04-15,829189117,7,5
2026-04-14,300230670,6,2
2026-04-14,300220901,3,0
2026-04-14,300220901,3,0
2026-04-14,234190941,5,1
2026-04-14,826205186,6,2
2026-04-14,300220901,6,1
2026-04-14,300220901,2,1
2026-04-14,260226753,10,5
2026-04-14,264230621,0,0
2026-04-14,300220901,4,1
2026-04-14,300220901,6,0
2026-04-14,251192119,4,0
2026-04-14,300220901,5,3
2026-04-14,289051539,6,2
2026-04-15,283170597,4,3
2026-04-15,206167948,6,3
2026-04-15,237212831,5,2
2026-04-15,206167948,8,4
2026-04-15,256193105,4,1
2026-04-15,206167948,6,2
2026-04-15,265234102,4,1
2026-04-15,206167948,5,3
2026-04-15,834190941,8,4
2026-04-15,206167948,6,4
2026-04-15,517192563,4,3
2026-04-15,206167948,0,0
2026-04-15,834190941,3,2
2026-04-15,206167948,6,1
2026-04-15,284188943,4,3
2026-04-15,206167948,5,2
2026-04-15,513186153,4,1
2026-04-15,206167948,7,5
2026-04-15,834230621,3,0
2026-04-15,508194404,5,1
2026-04-14,324024630,4,1
2026-04-14,508194404,2,0
2026-04-14,207051539,3,1
2026-04-14,508194404,7,3
2026-04-13,214150724,6,1
2026-04-13,508194404,4,1
2026-04-10,216192448,21,7
2026-04-10,508194404,5,1
2026-04-09,265233306,4,2
2026-04-09,508194404,1,1
2026-04-08,291211738,2,2
2026-04-08,508194404,5,3
2026-04-07,851204935,3,1
2026-04-07,508194404,3,1
2026-04-07,206024630,7,3
2026-04-07,508194404,0,0
2026-04-15,206024630,7,4
2026-04-15,206199482,6,4
2026-04-15,206199482,6,2
2026-04-15,501215698,7,2
2026-04-15,501172723,6,2
2026-04-15,206199482,10,4
2026-04-15,291262621,3,1
2026-04-15,206199482,8,2
2026-04-14,840242948,2,1
2026-04-14,300193786,5,2
2026-04-14,300193786,11,7
2026-04-14,300243311,7,3
2026-04-14,300193786,5,1
2026-04-14,827051539,3,0
2026-04-14,300193786,4,1
2026-04-14,214005479,4,0
2026-04-13,300193786,3,0
2026-04-13,845233267,4,3
2026-04-13,251150724,6,3
2026-04-13,300193786,9,3
2026-04-12,289192119,1,0
2026-04-12,300193786,4,1
2026-04-12,265233306,1,1
2026-04-12,300193786,3,0
2026-04-12,851230872,7,4
2026-04-12,300193786,3,2
2026-04-15,234180739,3,1
2026-04-15,300233164,6,1
2026-04-15,300233164,6,1
2026-04-15,256193105,3,1
2026-04-15,300233164,8,3
2026-04-15,300212831,5,2
2026-04-14,300233164,2,2
2026-04-14,270221087,3,0
2026-04-14,300233164,3,2
2026-04-14,502192119,6,2
2026-04-14,834235840,4,1
2026-04-14,300233164,2,1
2026-04-14,234192119,4,1
2026-04-14,300233164,10,2
2026-04-14,300233164,3,0
2026-04-14,300238186,4,1
2026-04-14,300233164,8,5
2026-04-14,802163587,0,0
2026-04-13,291211738,3,3
2026-04-13,300228789,6,3
2026-04-13,300228789,0,0
2026-04-13,251167495,4,1
2026-04-11,300226753,6,3
2026-04-11,300228789,4,2
2026-04-11,300228789,5,5
2026-04-11,828192119,8,4
2026-04-11,256199987,7,1
2026-04-11,300228789,5,2
2026-04-11,206212831,3,2
2026-04-11,300228789,3,1
2026-04-10,848190941,5,2
2026-04-10,300228789,4,1
2026-04-10,206177683,5,4
2026-04-10,300228789,5,1
2026-04-10,300206585,3,3
2026-04-10,300228789,4,3
2026-04-14,283211101,5,2
2026-04-14,260210257,6,4
2026-04-14,283211101,4,1
2026-04-14,274005479,7,5
2026-04-14,283211101,3,0
2026-04-14,300243311,1,1
2026-04-14,283211101,5,4
2026-04-14,834235840,5,3
2026-04-14,283211101,4,2
2026-04-14,515223885,7,5
2026-04-14,283211101,6,4
2026-04-14,256167495,2,2
2026-04-13,283211101,6,2
2026-04-13,324073239,3,2
2026-04-13,283211101,4,0
2026-04-13,206177683,7,2
2026-04-13,283211101,7,4
2026-04-13,513203841,2,1
2026-04-15,818167495,10,2
2026-04-15,508192119,2,1
2026-04-15,237212831,4,0
2026-04-15,256199987,4,0
2026-04-15,237212831,8,5
