선수ID,총선방수,총피슈팅수,사용횟수,경기당선방,선방률(%)
834230621,0,0,14,0.0,
251167495,0,0,13,0.0,
300192119,0,0,13,0.0,
265186153,0,0,13,0.0,
264230621,0,0,12,0.0,
251192119,0,0,12,0.0,
260186569,0,0,11,0.0,
825051539,0,0,11,0.0,
265225116,0,0,11,0.0,
280210257,0,0,10,0.0,
300220901,0,0,10,0.0,
508194404,0,0,10,0.0,
828230621,0,0,10,0.0,
206167948,0,0,10,0.0,
256186153,0,0,10,0.0,
260213951,0,0,9,0.0,
829235073,0,0,9,0.0,
856235840,0,0,8,0.0,
834220901,0,0,7,0.0,
828167948,0,0,7,0.0,
300233267,0,0,6,0.0,
840206585,0,0,6,0.0,
234192119,0,0,5,0.0,
324024630,0,0,4,0.0,
206203841,0,0,4,0.0,
237212831,0,0,3,0.0,
251051539,0,0,3,0.0,
206177683,0,0,3,0.0,
216192448,0,0,3,0.0,
804262621,0,0,2,0.0,
206024630,0,0,2,0.0,
826226753,0,0,2,0.0,
834190941,0,0,2,0.0,
265233306,0,0,2,0.0,
289051539,0,0,2,0.0,
264190941,0,0,2,0.0,
265234102,0,0,2,0.0,
237210257,0,0,2,0.0,
246199987,0,0,2,0.0,
256193105,0,0,2,0.0,
253192119,0,0,2,0.0,
256199987,0,0,2,0.0,
513186153,0,0,2,0.0,
825210257,0,0,2,0.0,
270193105,0,0,2,0.0,
283211101,0,0,2,0.0,
283170597,0,0,2,0.0,
845233267,0,0,2,0.0,
206199482,0,0,1,0.0,
101048940,0,0,1,0.0,
206173373,0,0,1,0.0,
234173373,0,0,1,0.0,
274192119,0,0,1,0.0,
268005479,0,0,1,0.0,
233163587,0,0,1,0.0,
260192119,0,0,1,0.0,
256051539,0,0,1,0.0,
256167495,0,0,1,0.0,
251001179,0,0,1,0.0,
251048940,0,0,1,0.0,
214167495,0,0,1,0.0,
207212831,0,0,1,0.0,
207193080,0,0,1,0.0,
216200389,0,0,1,0.0,
216162835,0,0,1,0.0,
218221087,0,0,1,0.0,
234051539,0,0,1,0.0,
237190053,0,0,1,0.0,
234190941,0,0,1,0.0,
214150724,0,0,1,0.0,
207051539,0,0,1,0.0,
300230621,0,0,1,0.0,
300228789,0,0,1,0.0,
300219836,0,0,1,0.0,
300193786,0,0,1,0.0,
300190941,0,0,1,0.0,
300192448,0,0,1,0.0,
300186148,0,0,1,0.0,
300186153,0,0,1,0.0,
289192119,0,0,1,0.0,
289190053,0,0,1,0.0,
291262621,0,0,1,0.0,
291211738,0,0,1,0.0,
284188943,0,0,1,0.0,
270233267,0,0,1,0.0,
268051539,0,0,1,0.0,
280235073,0,0,1,0.0,
260226753,0,0,1,0.0,
508192119,0,0,1,0.0,
501215698,0,0,1,0.0,
513203841,0,0,1,0.0,
517192563,0,0,1,0.0,
506001179,0,0,1,0.0,
300240913,0,0,1,0.0,
300230670,0,0,1,0.0,
300243952,0,0,1,0.0,
300243675,0,0,1,0.0,
300263887,0,0,1,0.0,
300252154,0,0,1,0.0,
319005479,0,0,1,0.0,
300243311,0,0,1,0.0,
300230872,0,0,1,0.0,
300233164,0,0,1,0.0,
815224836,0,0,1,0.0,
814223885,0,0,1,0.0,
814186569,0,0,1,0.0,
814048940,0,0,1,0.0,
802163587,0,0,1,0.0,
802182494,0,0,1,0.0,
517230869,0,0,1,0.0,
517235840,0,0,1,0.0,
515215698,0,0,1,0.0,
513228789,0,0,1,0.0,
517224003,0,0,1,0.0,
828200389,0,0,1,0.0,
828215698,0,0,1,0.0,
828212831,0,0,1,0.0,
826205186,0,0,1,0.0,
826200389,0,0,1,0.0,
834210257,0,0,1,0.0,
829220901,0,0,1,0.0,
829167495,0,0,1,0.0,
829189117,0,0,1,0.0,
828226753,0,0,1,0.0,
835016254,0,0,1,0.0,
836230621,0,0,1,0.0,
834212831,0,0,1,0.0,
844251752,0,0,1,0.0,
845242179,0,0,1,0.0,
848192119,0,0,1,0.0,
846193080,0,0,1,0.0,
851204935,0,0,1,0.0,
852048940,0,0,1,0.0,
852186153,0,0,1,0.0,
853212432,0,0,1,0.0,
