선수ID,총선방수,총피슈팅수,사용횟수,경기당선방,선방률(%)
251192119,0,0,27,0.0,
804262621,0,0,25,0.0,
834230621,0,0,25,0.0,
834192119,0,0,21,0.0,
834220901,0,0,20,0.0,
251051539,0,0,20,0.0,
264230621,0,0,20,0.0,
270233934,0,0,19,0.0,
828212831,0,0,17,0.0,
834215698,0,0,16,0.0,
300212831,0,0,16,0.0,
231024630,0,0,16,0.0,
825192448,0,0,16,0.0,
517254803,0,0,16,0.0,
283192448,0,0,16,0.0,
233163587,0,0,15,0.0,
828167948,0,0,15,0.0,
828230621,0,0,15,0.0,
840206585,0,0,15,0.0,
844233306,0,0,15,0.0,
844259532,0,0,15,0.0,
283186569,0,0,15,0.0,
207000001,0,0,15,0.0,
214001179,0,0,15,0.0,
814234642,0,0,15,0.0,
829235073,0,0,15,0.0,
856235840,0,0,15,0.0,
206203841,0,0,14,0.0,
300230872,0,0,14,0.0,
517185122,0,0,14,0.0,
844251752,0,0,13,0.0,
845230869,0,0,12,0.0,
300262621,0,0,12,0.0,
206193105,0,0,12,0.0,
206024630,0,0,11,0.0,
851220901,0,0,11,0.0,
265233306,0,0,11,0.0,
217203042,0,0,9,0.0,
206177683,0,0,9,0.0,
234192119,0,0,9,0.0,
216230621,0,0,8,0.0,
300192119,0,0,8,0.0,
265192119,0,0,8,0.0,
291262621,0,0,8,0.0,
206048940,0,0,8,0.0,
853238570,0,0,8,0.0,
251167495,0,0,7,0.0,
206005479,0,0,7,0.0,
253192119,0,0,7,0.0,
256210257,0,0,6,0.0,
289192119,0,0,6,0.0,
283167495,0,0,6,0.0,
216192448,0,0,6,0.0,
825210257,0,0,5,0.0,
231173426,0,0,5,0.0,
237210257,0,0,5,0.0,
256051539,0,0,5,0.0,
834212831,0,0,5,0.0,
237192119,0,0,4,0.0,
828215698,0,0,4,0.0,
834210257,0,0,4,0.0,
214024630,0,0,4,0.0,
851204935,0,0,4,0.0,
265225116,0,0,4,0.0,
284001179,0,0,4,0.0,
246186569,0,0,4,0.0,
270193105,0,0,4,0.0,
517259532,0,0,4,0.0,
834251752,0,0,4,0.0,
300219836,0,0,4,0.0,
265186153,0,0,4,0.0,
300186153,0,0,4,0.0,
300192448,0,0,4,0.0,
324024630,0,0,4,0.0,
264190941,0,0,3,0.0,
846212831,0,0,3,0.0,
289051539,0,0,3,0.0,
834235840,0,0,3,0.0,
217212831,0,0,3,0.0,
830210941,0,0,3,0.0,
214167495,0,0,3,0.0,
246199987,0,0,3,0.0,
206203042,0,0,3,0.0,
856228789,0,0,3,0.0,
206206585,0,0,3,0.0,
515215698,0,0,3,0.0,
300230621,0,0,3,0.0,
300186569,0,0,3,0.0,
252051539,0,0,3,0.0,
829051539,0,0,3,0.0,
234162835,0,0,3,0.0,
828192119,0,0,3,0.0,
853232065,0,0,2,0.0,
256192448,0,0,2,0.0,
256167495,0,0,2,0.0,
234051539,0,0,2,0.0,
