선수ID,총선방수,총피슈팅수,사용횟수,선방률(%)
834230621,0,120,51,0.0
300192119,0,62,23,0.0
251192119,0,74,22,0.0
828230621,0,72,22,0.0
251167495,0,40,21,0.0
265186153,0,60,20,0.0
283211101,0,47,19,0.0
265225116,0,38,18,0.0
206024630,0,47,18,0.0
264230621,0,40,18,0.0
251150724,0,44,17,0.0
300190941,0,37,17,0.0
256186153,0,37,17,0.0
206167948,0,49,17,0.0
280210257,0,41,17,0.0
300228789,0,36,17,0.0
300193786,0,50,16,0.0
300233164,0,52,16,0.0
300233306,0,41,16,0.0
508194404,0,29,16,0.0
515215698,0,38,16,0.0
825051539,0,41,16,0.0
517185122,0,56,16,0.0
260186569,0,37,16,0.0
256193105,0,47,16,0.0
856203841,0,45,16,0.0
300220901,0,41,13,0.0
260213951,0,38,13,0.0
834220901,0,27,12,0.0
856235840,0,30,12,0.0
300262621,0,18,11,0.0
206177683,0,26,11,0.0
234192119,0,20,8,0.0
265234102,0,26,7,0.0
265233306,0,18,7,0.0
804262621,0,26,7,0.0
264190941,0,19,7,0.0
237212831,0,14,6,0.0
291262621,0,12,6,0.0
828167948,0,12,6,0.0
845199005,0,15,6,0.0
324024630,0,16,6,0.0
300233267,0,13,6,0.0
256210257,0,15,5,0.0
844251752,0,11,5,0.0
216192448,0,25,5,0.0
101048940,0,11,5,0.0
834235840,0,15,5,0.0
845233267,0,10,5,0.0
300235840,0,9,4,0.0
256199987,0,13,4,0.0
828215698,0,10,4,0.0
825210257,0,9,4,0.0
829235073,0,4,4,0.0
300243311,0,10,4,0.0
253192119,0,10,4,0.0
270193105,0,12,4,0.0
234051539,0,10,4,0.0
251051539,0,11,4,0.0
242192119,0,11,4,0.0
206199482,0,23,4,0.0
828212831,0,4,3,0.0
300230621,0,5,3,0.0
291211738,0,5,3,0.0
231024630,0,10,3,0.0
234162835,0,3,3,0.0
268051539,0,6,3,0.0
246199987,0,5,3,0.0
289192119,0,6,3,0.0
270233934,0,6,3,0.0
256167495,0,4,3,0.0
207051539,0,12,3,0.0
217212831,0,10,3,0.0
237210257,0,12,3,0.0
231173426,0,7,3,0.0
840206585,0,9,3,0.0
834212831,0,6,3,0.0
826226753,0,9,2,0.0
828167495,0,11,2,0.0
283186569,0,5,2,0.0
289051539,0,6,2,0.0
284216065,0,6,2,0.0
206200389,0,5,2,0.0
216234642,0,4,2,0.0
283170597,0,3,2,0.0
274192119,0,8,2,0.0
513203841,0,3,2,0.0
802163587,0,5,2,0.0
517235840,0,3,2,0.0
802200389,0,2,2,0.0
300255303,0,9,2,0.0
508192119,0,2,2,0.0
513186153,0,4,2,0.0
300243952,0,2,2,0.0
826204935,0,6,2,0.0
840193080,0,2,2,0.0
834192119,0,4,2,0.0
848190941,0,8,2,0.0
851230872,0,9,2,0.0
853212432,0,2,2,0.0
836230621,0,4,2,0.0
840242948,0,3,2,0.0
846193080,0,4,2,0.0
828226753,0,7,2,0.0
834210257,0,5,2,0.0
834190941,0,5,2,0.0
828200389,0,6,2,0.0
206212831,0,5,2,0.0
216200389,0,5,2,0.0
233163587,0,6,2,0.0
206192448,0,2,2,0.0
300219836,0,6,2,0.0
517254803,0,4,2,0.0
300194404,0,5,2,0.0
300186569,0,6,2,0.0
835016254,0,5,2,0.0
300167495,0,6,1,0.0
283230621,0,5,1,0.0
284188943,0,1,1,0.0
274005479,0,2,1,0.0
289176550,0,3,1,0.0
289178005,0,5,1,0.0
289190053,0,4,1,0.0
283192448,0,2,1,0.0
283186153,0,7,1,0.0
280215698,0,3,1,0.0
264210385,0,1,1,0.0
242186153,0,2,1,0.0
253167948,0,2,1,0.0
252163587,0,1,1,0.0
251048940,0,3,1,0.0
242210257,0,1,1,0.0
246186569,0,4,1,0.0
246193105,0,3,1,0.0
251001179,0,2,1,0.0
260210257,0,2,1,0.0
268005479,0,1,1,0.0
270221087,0,3,1,0.0
270233267,0,1,1,0.0
280167948,0,4,1,0.0
273173426,0,3,1,0.0
237190053,0,1,1,0.0
237192119,0,3,1,0.0
218199987,0,3,1,0.0
217204935,0,5,1,0.0
216162835,0,5,1,0.0
214001179,0,3,1,0.0
214005479,0,4,1,0.0
206167495,0,2,1,0.0
206173373,0,2,1,0.0
101000488,0,3,1,0.0
206230621,0,1,1,0.0
206215316,0,4,1,0.0
206192119,0,4,1,0.0
206186153,0,2,1,0.0
214186569,0,3,1,0.0
214150724,0,5,1,0.0
207212831,0,5,1,0.0
207193080,0,5,1,0.0
234173373,0,2,1,0.0
234001179,0,9,1,0.0
234190053,0,2,1,0.0
234180739,0,2,1,0.0
234190941,0,4,1,0.0
214024630,0,3,1,0.0
233192119,0,8,1,0.0
231150724,0,4,1,0.0
234199987,0,5,1,0.0
253167495,0,1,1,0.0
256186569,0,2,1,0.0
256051539,0,4,1,0.0
260226753,0,5,1,0.0
260192119,0,4,1,0.0
300216065,0,3,1,0.0
300193105,0,2,1,0.0
818167495,0,8,1,0.0
815224836,0,2,1,0.0
814223885,0,3,1,0.0
814186569,0,2,1,0.0
814048940,0,3,1,0.0
802182494,0,2,1,0.0
517223952,0,2,1,0.0
517230869,0,1,1,0.0
517220901,0,1,1,0.0
517227127,0,6,1,0.0
517224003,0,2,1,0.0
513228789,0,1,1,0.0
515223885,0,2,1,0.0
517192563,0,1,1,0.0
517200389,0,1,1,0.0
517215698,0,2,1,0.0
501215698,0,5,1,0.0
502192119,0,4,1,0.0
501172723,0,4,1,0.0
324073239,0,1,1,0.0
513240091,0,6,1,0.0
300186153,0,2,1,0.0
300199987,0,2,1,0.0
300212831,0,3,1,0.0
300224836,0,4,1,0.0
300238186,0,3,1,0.0
300230872,0,1,1,0.0
300230670,0,4,1,0.0
300240913,0,5,1,0.0
300243675,0,4,1,0.0
300252154,0,1,1,0.0
319005479,0,4,1,0.0
300226753,0,3,1,0.0
829051539,0,1,1,0.0
834215698,0,2,1,0.0
829189117,0,2,1,0.0
829204883,0,5,1,0.0
829212831,0,6,1,0.0
829167495,0,5,1,0.0
829226753,0,4,1,0.0
827051539,0,3,1,0.0
826205186,0,4,1,0.0
825192119,0,2,1,0.0
825243952,0,3,1,0.0
828192119,0,4,1,0.0
828202811,0,1,1,0.0
829220901,0,1,1,0.0
834250753,0,2,1,0.0
846212831,0,4,1,0.0
845242179,0,1,1,0.0
840215316,0,3,1,0.0
836167948,0,1,1,0.0
836167495,0,2,1,0.0
851204935,0,2,1,0.0
848225116,0,2,1,0.0
848192119,0,3,1,0.0
852198009,0,7,1,0.0
852186153,0,2,1,0.0
852048940,0,3,1,0.0
852223885,0,4,1,0.0
855167495,0,4,1,0.0
853210941,0,3,1,0.0
856210385,0,1,1,0.0
856240091,0,3,1,0.0
