시간,경기결과,내유효슛,내골수,상대GK_ID
2026-04-15 3:35,승,4,3,828167948
2026-04-15 3:20,승,4,1,844251752
2026-04-15 0:47,패,4,2,251051539
2026-04-15 0:28,승,8,4,828230621
2026-04-15 0:10,패,3,3,233163587
2026-04-14 23:53,패,3,2,834220901
2026-04-14 23:39,패,1,0,834230621
2026-04-14 23:26,승,6,4,251192119
2026-04-14 22:44,승,6,3,없음
2026-04-14 22:31,패,3,1,283192448
2026-04-14 22:12,승,6,3,300212831
2026-04-14 21:59,승,4,2,206193105
2026-04-14 21:38,무,4,4,844259532
2026-04-14 21:21,승,4,3,214001179
2026-04-14 21:06,승,5,4,804262621
2026-04-14 20:49,무,3,2,515215698
2026-04-14 20:38,무,3,2,265192119
2026-04-14 16:02,패,3,2,206177683
2026-04-14 15:50,패,7,3,234162835
2026-04-14 15:38,패,6,3,246199987
2026-04-14 15:26,승,4,2,237192119
2026-04-14 15:13,패,0,0,517235840
2026-04-14 3:21,패,3,3,234051539
2026-04-14 3:09,패,4,3,852048940
2026-04-14 2:57,무,2,1,834220901
2026-04-14 2:44,패,3,1,300211515
2026-04-14 2:32,패,4,2,291262621
2026-04-14 2:20,승,3,3,268051539
2026-04-13 3:41,승,6,3,300260978
2026-04-13 3:23,패,2,2,300243675
