시간,경기결과,내유효슛,내골수,상대GK_ID
2026-04-15 03:35,승,0,3,828167948
2026-04-15 03:20,승,0,1,844251752
2026-04-15 00:47,승,0,2,251051539
2026-04-15 00:28,승,0,4,828230621
2026-04-15 00:10,승,0,3,233163587
2026-04-14 23:53,승,0,2,834220901
2026-04-14 23:39,무,0,0,834230621
2026-04-14 23:26,승,0,4,251192119
2026-04-14 22:44,승,0,3,없음
2026-04-14 22:31,승,0,1,283192448
2026-04-14 22:12,승,0,3,300212831
2026-04-14 21:59,승,0,2,206193105
2026-04-14 21:38,승,0,4,844259532
2026-04-14 21:21,승,0,3,214001179
2026-04-14 21:06,승,0,4,804262621
2026-04-14 20:49,승,0,2,515215698
2026-04-14 20:38,승,0,2,265192119
2026-04-14 16:02,승,0,2,206177683
2026-04-14 15:50,승,0,3,234162835
2026-04-14 15:38,승,0,3,246199987
2026-04-14 15:26,승,0,2,237192119
2026-04-14 15:13,무,0,0,517235840
2026-04-14 03:21,승,0,3,234051539
2026-04-14 03:09,승,0,3,852048940
2026-04-14 02:57,승,0,1,834220901
2026-04-14 02:44,승,0,1,300211515
2026-04-14 02:32,승,0,2,291262621
2026-04-14 02:20,승,0,3,268051539
2026-04-13 03:41,승,0,3,300260978
2026-04-13 03:23,승,0,2,300243675
