날짜,GK_ID,강화단계,피슈팅,선방
2026-04-26,856235840,9,6,2
2026-04-26,256186153,8,1,0
2026-04-25,856235840,9,5,1
2026-04-25,515269626,8,2,1
2026-04-25,206167495,10,3,2
2026-04-25,856235840,9,4,1
2026-04-25,856235840,9,6,4
2026-04-25,265233306,9,4,3
2026-04-25,856235840,9,12,6
2026-04-25,324024630,12,6,3
2026-04-25,856235840,9,1,1
2026-04-25,834230621,8,3,0
2026-04-25,856235840,9,4,1
2026-04-25,300235840,13,2,2
2026-04-25,856235840,9,10,5
2026-04-25,825210257,8,4,0
2026-04-25,856235840,9,4,1
2026-04-25,233192119,8,5,2
2026-04-25,856235840,9,2,2
2026-04-25,300235840,12,3,2
2026-04-25,856235840,9,6,1
2026-04-25,265233306,8,5,2
2026-04-25,856235840,9,4,1
2026-04-25,517224987,8,8,2
2026-04-25,856235840,9,2,0
2026-04-25,251192119,8,2,1
2026-04-24,856235840,9,2,1
2026-04-24,206192448,8,6,2
2026-04-24,856235840,9,5,4
2026-04-24,251167495,8,2,0
2026-04-24,856235840,9,7,2
2026-04-24,291262621,9,8,4
2026-04-24,856235840,9,7,6
2026-04-24,802167495,8,6,1
2026-04-24,856235840,9,3,1
2026-04-24,828215698,8,9,3
2026-04-24,856235840,9,3,2
2026-04-24,517204935,8,2,1
2026-04-22,856235840,9,8,4
2026-04-22,265186153,8,5,3
2026-04-22,856235840,9,7,2
2026-04-22,206024630,13,3,0
2026-04-22,856235840,9,2,1
2026-04-22,853212432,8,3,1
2026-04-22,845233267,8,3,1
2026-04-22,856235840,9,5,3
2026-04-22,511233306,5,4,2
2026-04-22,856235840,9,6,2
2026-04-22,856235840,9,4,4
2026-04-22,233192119,8,3,0
2026-04-22,251192119,8,3,0
2026-04-22,856235840,9,4,2
2026-04-22,511224987,13,3,0
2026-04-22,856235840,9,4,1
2026-04-22,237165735,9,3,1
2026-04-22,856235840,9,4,0
2026-04-22,856235840,9,5,3
2026-04-22,214167495,6,2,0
2026-04-22,856235840,9,2,0
2026-04-22,242192119,8,4,1
2026-04-21,856235840,9,6,2
2026-04-21,517202811,8,4,2
