경기일시,결과,내득점,상대득점,점유율,전체슛,유효슛,감아차기슛,감아차기골,헤딩슛,헤딩골,프리킥슛,프리킥골,PK슛,PK골,박스안슛,박스안골,박스밖슛,박스밖골,패스시도,패스성공,패스성공률(%),숏패스시도,숏패스성공,중거리패스시도,중거리패스성공,롱패스시도,롱패스성공,스루패스시도,스루패스성공,로빙스루시도,로빙스루성공,드리블시도,드리블성공,드리블거리,볼소유시도,볼소유성공,공중볼경합시도,공중볼경합성공,태클시도,태클성공,블락시도,블락성공,가로채기,차단성공,코너킥,오프사이드,파울,경고,퇴장
2026-04-15 3:35,승,3,2,45,5,0,0,0,0,0,0,0,0,0,3,3,2,0,140,121,86.4,86,78,0,0,11,6,22,20,1,0,0,0,0,0,0,0,0,14,7,4,1,0,0,0,0,2,0,0
2026-04-15 3:20,승,1,0,45,8,0,0,0,3,0,1,0,0,0,5,1,3,0,111,103,92.8,77,72,0,0,4,4,17,16,1,1,0,0,0,0,0,0,0,4,1,2,0,0,0,3,0,0,0,0
2026-04-15 0:47,패,2,5,53,6,0,0,0,0,0,0,0,0,0,5,2,1,0,134,119,88.8,86,82,0,0,9,4,21,17,1,1,0,0,0,0,0,0,0,10,5,6,0,0,0,1,0,1,0,0
2026-04-15 0:28,승,4,3,64,11,0,0,0,1,1,0,0,0,0,8,4,3,0,211,192,91,136,127,0,0,12,7,37,35,0,0,0,0,0,0,0,0,0,11,5,2,0,0,0,2,0,0,0,0
2026-04-15 0:10,패,3,4,47,4,0,0,0,2,1,0,0,1,1,3,2,0,0,162,146,90.1,104,98,0,0,11,5,25,23,1,1,0,0,0,0,0,0,0,12,6,6,1,0,0,1,1,0,0,0
2026-04-14 23:53,패,2,3,49,4,0,0,0,2,1,0,0,0,0,4,2,0,0,146,133,91.1,97,96,0,0,9,6,21,17,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0
2026-04-14 23:39,패,0,1,50,4,0,0,0,1,0,0,0,0,0,4,0,0,0,122,109,89.3,73,69,0,0,8,5,21,20,2,1,0,0,0,0,0,0,0,9,7,1,1,0,0,1,0,1,0,0
2026-04-14 23:26,승,4,2,45,6,0,0,0,2,1,0,0,0,0,5,3,1,1,118,107,90.7,70,68,0,0,8,5,27,24,0,0,0,0,0,0,0,0,0,5,3,8,2,0,0,2,1,1,0,0
2026-04-14 22:44,승,3,0,55,6,0,0,0,2,0,0,0,0,0,6,3,0,0,122,112,91.8,80,77,0,0,13,11,12,10,2,2,0,0,0,0,0,0,0,8,3,7,0,0,0,1,1,0,0,0
2026-04-14 22:31,패,1,3,48,5,0,0,0,0,0,0,0,0,0,5,1,0,0,117,103,88,73,68,0,0,7,2,21,19,0,0,0,0,0,0,0,0,0,5,3,8,2,0,0,2,1,0,0,0
2026-04-14 22:12,승,3,0,52,8,0,0,0,3,0,1,0,0,0,7,3,1,0,124,114,91.9,85,83,0,0,13,8,14,13,4,3,0,0,0,0,0,0,0,6,6,7,2,0,0,1,0,0,0,0
2026-04-14 21:59,승,2,2,53,6,0,0,0,2,0,0,0,0,0,4,1,2,1,177,159,89.8,106,102,0,0,12,5,32,27,3,3,0,0,0,0,0,0,0,8,6,11,0,0,0,1,0,2,0,0
2026-04-14 21:38,무,4,4,51,4,0,0,0,1,1,0,0,1,1,3,3,0,0,127,111,87.4,78,76,0,0,6,4,20,14,0,0,0,0,0,0,0,0,0,6,4,6,2,0,0,0,0,0,0,0
2026-04-14 21:21,승,3,2,47,6,0,0,0,1,0,0,0,0,0,5,3,1,0,103,91,88.3,63,60,0,0,6,5,20,16,0,0,0,0,0,0,0,0,0,10,5,6,1,0,0,0,1,0,0,0
2026-04-14 21:06,승,4,2,59,6,0,0,0,0,0,0,0,0,0,5,4,1,0,166,148,89.2,103,99,0,0,11,7,29,24,3,3,0,0,0,0,0,0,0,9,6,4,0,0,0,0,0,0,0,0
2026-04-14 20:49,무,2,2,47,4,0,0,0,0,0,0,0,0,0,2,1,2,1,111,99,89.2,67,63,0,0,5,2,31,29,1,0,0,0,0,0,0,0,0,7,2,7,2,0,0,0,0,0,0,0
2026-04-14 20:38,무,2,2,49,3,0,0,0,2,1,0,0,0,0,3,2,0,0,128,111,86.7,76,74,0,0,12,8,25,19,2,2,0,0,0,0,0,0,0,14,8,5,1,0,0,0,0,1,0,0
2026-04-14 16:02,패,2,3,48,4,0,0,0,2,0,0,0,0,0,4,2,0,0,117,97,82.9,65,59,0,0,10,4,21,18,0,0,0,0,0,0,0,0,0,9,5,5,1,0,0,1,1,0,0,0
2026-04-14 15:50,패,3,6,52,8,0,0,0,2,1,0,0,0,0,7,3,1,0,143,126,88.1,86,82,0,0,9,5,22,20,0,0,0,0,0,0,0,0,0,12,6,9,0,0,0,3,1,1,0,0
2026-04-14 15:38,패,3,4,52,9,0,0,0,1,0,0,0,0,0,6,3,3,0,142,130,91.5,96,91,0,0,5,3,21,20,2,1,0,0,0,0,0,0,0,11,6,3,0,0,0,1,1,0,0,0
2026-04-14 15:26,승,2,1,59,6,0,0,0,3,1,1,0,0,0,5,2,1,0,163,148,90.8,102,100,0,0,9,4,31,24,2,2,0,0,0,0,0,0,0,5,4,1,0,0,0,2,0,0,0,0
2026-04-14 15:13,패,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14 3:21,패,3,6,47,4,0,0,0,1,1,0,0,0,0,2,2,2,1,115,100,87,63,60,0,0,4,1,35,31,0,0,0,0,0,0,0,0,0,17,9,6,2,0,0,0,0,4,2,0
2026-04-14 3:09,패,3,7,52,4,0,0,0,1,1,0,0,0,0,2,2,2,1,150,134,89.3,95,92,0,0,7,2,26,21,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,2,0,0,0,0
2026-04-14 2:57,무,1,1,47,5,0,0,0,1,0,1,0,0,0,3,1,2,0,121,107,88.4,76,71,0,0,5,3,20,16,0,0,0,0,0,0,0,0,0,6,4,3,1,0,0,1,0,0,0,0
