선수ID,선수이름,포지션,보유신규특성,국가,주발,약발,클럽1,클럽2,클럽3,클럽4,클럽5,클럽6
100000041,이니에스타,CM,커맨더,스페인,양발,5,FC 바르셀로나,,,,,
100000051,앨런 시어러,ST,아크로바틱 피니셔,잉글랜드,오른발,4,뉴캐슬 유나이티드,블랙번 로버스,사우샘프턴,,,
100000240,로이 킨,CDM,와일드 태클러,아일랜드,오른발,3,셀틱,맨체스터 유나이티드,,,,
100000246,폴 스콜스,CM,커맨더,잉글랜드,오른발,4,맨체스터 유나이티드,,,,,
100000250,데이비드 베컴,RM,커맨더,잉글랜드,오른발,4,파리 생제르맹,밀라노 FC,LA 갤럭시,레알 마드리드,맨체스터 유나이티드,
100000388,솔 캠벨,CB,타이탄,잉글랜드,오른발,4,뉴캐슬 유나이티드,아스널,토트넘 홋스퍼,,,
100000488,올리버 칸,GK,GK 빠른 반응,독일,오른발,2,바이에른 뮌헨,,,,,
100000570,제이-제이 오코차,CAM,아크로바틱 피니셔,나이지리아,오른발,4,파리 생제르맹,아인트라흐트 프랑크푸르트,,,,
100001025,후이 코스타,CAM,커맨더,포르투갈,오른발,4,SL 벤피카,밀라노 FC,피오렌티나,,,
100001040,호베르투 카를루스,LB,스피드스터,브라질,왼발,3,레알 마드리드,롬바르디아 FC,,,,
100001041,하비에르 사네티,LB,2개의 심장,아르헨티나,오른발,4,롬바르디아 FC,,,,,
100001075,델피에로,CF,라인 브레이커,이탈리아,양발,5,유벤투스,,,,,
100001088,알레산드로 네스타,CB,와일드 태클러,이탈리아,오른발,3,밀라노 FC,라티움,,,,
100001109,파올로 말디니,LB,파이터,이탈리아,양발,5,밀라노 FC,,,,,
100001114,로베르토 바조,CF,아크로바틱 피니셔,이탈리아,양발,5,롬바르디아 FC,볼로냐,밀라노 FC,유벤투스,피오렌티나,
100001116,마르셀 드사이,CDM,와일드 태클러,프랑스,오른발,3,첼시,밀라노 FC,올랭피크 마르세유,FC 낭트,,
100001179,잔루이지 부폰,GK,GK 공중볼 장악,이탈리아,오른발,2,파르마,유벤투스,파리 생제르맹,,,
100001183,파비오 칸나바로,CB,와일드 태클러,이탈리아,오른발,3,유벤투스,레알 마드리드,롬바르디아 FC,파르마,SSC 나폴리,
100001201,잔프랑코 졸라,CF,라인 브레이커,이탈리아,양발,5,칼리아리,첼시,파르마,SSC 나폴리,,
100001238,프란체스코 토티,CF,아크로바틱 피니셔,이탈리아,양발,5,AS 로마,,,,,
100001256,클라렌스 세이도르프,CAM,2개의 심장,네덜란드,오른발,4,밀라노 FC,롬바르디아 FC,레알 마드리드,삼프도리아,아약스,
100001397,지네딘 지단,CAM,아크로바틱 피니셔,프랑스,양발,5,레알 마드리드,유벤투스,,,,
100001419,파트리크 비에이라,CDM,와일드 태클러,프랑스,오른발,4,맨체스터 시티,롬바르디아 FC,유벤투스,아스널,밀라노 FC,
100001605,로베르 피레스,LM,라인 브레이커,프랑스,오른발,4,애스턴 빌라,비야레알 CF,아스널,올랭피크 마르세유,FC 메스,
100001615,릴리앙 튀람,RB,와일드 태클러,프랑스,양발,5,FC 바르셀로나,유벤투스,파르마,AS 모나코,,
100001620,에마뉘엘 프티,CDM,2개의 심장,프랑스,왼발,3,첼시,FC 바르셀로나,아스널,AS 모나코,,
100001625,티에리 앙리,ST,라인 브레이커,프랑스,양발,5,아스널,FC 바르셀로나,유벤투스,AS 모나코,,
100001668,클로드 마켈렐레,CDM,와일드 태클러,프랑스,오른발,3,파리 생제르맹,첼시,레알 마드리드,셀타 비고,올랭피크 마르세유,FC 낭트
100001845,올레 군나르 솔샤르,ST,크로스 포쳐,노르웨이,양발,5,맨체스터 유나이티드,,,,,
100003647,미하엘 발락,CAM,크로스 포쳐,독일,양발,5,바이엘 04 레버쿠젠,첼시,바이에른 뮌헨,,,
100004000,데니스 베르캄프,CF,아크로바틱 피니셔,네덜란드,양발,5,아스널,롬바르디아 FC,아약스,,,
100004202,젠나로 가투소,CDM,와일드 태클러,이탈리아,오른발,4,밀라노 FC,레인저스,,,,
100004231,히바우두,CAM,아크로바틱 피니셔,브라질,왼발,3,밀라노 FC,FC 바르셀로나,,,,
100004833,스토이치코프,RW,라인 브레이커,불가리아,왼발,4,FC 바르셀로나,파르마,,,,
100005003,카푸,RB,체이서,브라질,오른발,4,밀라노 FC,AS 로마,,,,
100005099,잔루카 잠브로타,RB,체이서,이탈리아,양발,5,밀라노 FC,FC 바르셀로나,유벤투스,,,
100005419,마이클 오언,ST,라인 브레이커,잉글랜드,오른발,4,스토크 시티,맨체스터 유나이티드,뉴캐슬 유나이티드,레알 마드리드,리버풀,
100005467,제이미 캐러거,CB,와일드 태클러,잉글랜드,오른발,3,리버풀,,,,,
100005471,프랭크 램파드,CM,아크로바틱 피니셔,잉글랜드,양발,5,맨체스터 시티,첼시,웨스트 햄 유나이티드,,,
100005479,카시야스,GK,GK 빠른 반응,스페인,왼발,3,FC 포르투,레알 마드리드,,,,
100005589,루이스 피구,RW,스피드스터,포르투갈,양발,5,롬바르디아 FC,레알 마드리드,FC 바르셀로나,스포르팅 CP,,
100005673,야리 리트마넨,CAM,크로스 포쳐,핀란드,양발,5,풀럼,아약스,리버풀,FC 바르셀로나,,
100005680,클라위베르트,ST,크로스 포쳐,네덜란드,양발,5,LOSC 릴,발렌시아 CF,뉴캐슬 유나이티드,FC 바르셀로나,밀라노 FC,아약스
100005984,다비드 트레제게,ST,크로스 포쳐,프랑스,양발,5,유벤투스,AS 모나코,,,,
100006235,파벨 네드베드,CAM,2개의 심장,체코,양발,5,유벤투스,라티움,스파르타 프라하,,,
100006975,프레디 융베리,RM,2개의 심장,스웨덴,양발,5,셀틱,웨스트 햄 유나이티드,아스널,,,
