NO,경기일시,결과,선수이름,포지션,강화,평점,득점,어시스트,전체슛,유효슛,감아차기슛,감아차기골,헤딩슛,헤딩골,프리킥슛,프리킥골,박스안슛,박스밖슛,패스시도,패스성공,패스성공률(%),패스굴절,드리블시도,드리블성공,드리블거리,볼소유시도,볼소유성공,공중볼경합시도,공중볼경합성공,태클시도,태클성공,블락시도,블락성공,가로채기,파울,경고,퇴장
1,2026-04-15 3:35,승,마테오 다르미안,LWB,10,5.6,0,0,0,0,0,0,0,0,0,0,0,0,8,7,87.5,0,7,6,84,1,0,0,0,0,0,0,0,0,0,0,0
2,2026-04-15 3:35,승,마르쿠스 튀람,LW,9,8,2,0,2,2,0,0,0,0,0,0,0,0,17,16,94.1,0,10,8,111,5,1,4,0,0,0,0,0,0,0,0,0
3,2026-04-15 3:35,승,M. 브로조비치,LDM,11,6.3,0,0,0,0,0,0,0,0,0,0,0,0,14,14,100,0,8,8,57,0,0,0,0,0,0,0,0,0,0,0,0
4,2026-04-15 3:35,승,마이콘,CDM,9,7,0,0,0,0,0,0,0,0,0,0,0,0,16,13,81.2,0,16,15,249,6,3,1,0,2,1,1,0,1,0,0,0
5,2026-04-15 3:35,승,덴젤 둠프리스,RCB,8,7,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.9,0,5,5,61,6,5,1,0,3,3,2,1,4,0,0,0
6,2026-04-15 3:35,승,하칸 찰하놀루,RDM,9,7.7,0,2,2,1,0,0,0,0,0,0,0,0,19,15,78.9,0,20,18,352,7,1,1,0,0,0,0,0,0,0,0,0
7,2026-04-15 3:35,승,파트리크 비에이라,LCB,9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100,0,7,7,181,3,3,0,0,3,1,0,0,1,0,0,0
8,2026-04-15 3:35,승,M. 디 그레고리오,GK,8,5.7,0,0,0,0,0,0,0,0,0,0,0,0,6,6,100,0,1,1,73,1,1,0,0,0,0,0,0,0,0,0,0
9,2026-04-15 3:35,승,헨릭 미키타리안,LM,10,6.9,1,0,1,1,0,0,0,0,0,0,0,0,9,8,88.9,0,7,5,147,7,3,2,0,2,1,0,0,1,0,0,0
10,2026-04-15 3:35,승,N. 잘레프스키,RWB,10,6,0,0,0,0,0,0,0,0,0,0,0,0,15,12,80,0,13,13,477,4,1,0,0,2,0,0,0,0,0,0,0
11,2026-04-15 3:35,승,P. 지엘린스키,RM,9,7.2,0,1,0,0,0,0,0,0,0,0,0,0,18,13,72.2,0,12,12,390,5,1,0,0,2,1,1,0,1,0,0,0
12,2026-04-15 3:20,승,덴젤 둠프리스,RCB,8,6.7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,100,0,5,5,31,1,1,5,0,0,0,0,0,0,0,0,0
13,2026-04-15 3:20,승,마이콘,CDM,9,7.6,0,0,0,0,0,0,0,0,0,0,0,0,20,18,90,0,10,10,244,3,2,0,0,1,1,0,0,1,0,0,0
14,2026-04-15 3:20,승,P. 지엘린스키,RM,9,6.8,0,0,1,1,0,0,0,0,0,0,0,0,8,7,87.5,0,6,6,119,3,2,1,1,0,0,0,0,0,0,0,0
15,2026-04-15 3:20,승,하칸 찰하놀루,RDM,9,7.6,0,1,2,1,0,0,0,0,0,0,0,0,17,16,94.1,0,9,8,242,3,0,0,0,2,0,0,0,0,0,0,0
